text,category,label
my motivation ran away from my brain,mental_health,0
my brain filed a complaint against assignments,mental_health,0
my brain started buffering like slow internet,mental_health,0
my stress level broke the world record,mental_health,0
my motivation went on vacation before the deadline,mental_health,0
my brain refused to cooperate with studying,mental_health,0
my thoughts started arguing with each other during the exam,mental_health,0
my concentration accidentally logged out,mental_health,0
my brain went into airplane mode during the test,mental_health,0
my stress meter exploded like a volcano,mental_health,0
my brain went on strike against homework,mental_health,0
my anxiety convinced me the assignment was optional,mental_health,0
my thoughts were buffering like bad wifi,mental_health,0
my brain needed a coffee break during the exam,mental_health,0
i forgot my university portal password before submission,account_issue,1
my university account was locked after multiple login attempts,account_issue,1
the LMS account verification failed during submission,account_issue,1
my student portal stopped accepting my login credentials,account_issue,1
my account session expired during the assignment upload,account_issue,1
the university portal asked for password reset before submission,account_issue,1
my account was temporarily blocked by the LMS system,account_issue,1
the authentication system failed while logging in,account_issue,1
my account was locked due to suspicious login activity,account_issue,1
my student ID account stopped working during submission,account_issue,1
my account decided to retire early,account_issue,0
my login password forgot me instead of me forgetting it,account_issue,0
my student account developed trust issues,account_issue,0
my account ran away from the login page,account_issue,0
my account went on vacation during submission,account_issue,0
my login credentials started hiding from me,account_issue,0
my account decided it was tired of studying,account_issue,0
my password joined a witness protection program,account_issue,0
my login screen refused to recognize me emotionally,account_issue,0
my account forgot it belonged to me,account_issue,0
my password developed stage fright,account_issue,0
my login button stopped believing in me,account_issue,0
my account started pretending it didn't know me,account_issue,0
my password escaped from memory,account_issue,0
my account took a day off from university life,account_issue,0
the campus printer stopped working while printing my assignment,printer_issue,1
the printer ran out of ink during printing,printer_issue,1
the printer jammed while printing my report,printer_issue,1
the printer produced blank pages instead of my assignment,printer_issue,1
the printer refused to connect to my laptop,printer_issue,1
the printer queue froze during printing,printer_issue,1
the printer driver crashed during printing,printer_issue,1
the printer printed distorted text on the assignment,printer_issue,1
the printer overheated while printing my document,printer_issue,1
the printer kept showing an error message,printer_issue,1
the printer decided to become a paper shredder,printer_issue,0
the printer developed stage fright,printer_issue,0
the printer got tired of printing assignments,printer_issue,0
the printer believed my assignment was too boring to print,printer_issue,0
the printer joined a rebellion against homework,printer_issue,0
the printer went on strike during submission day,printer_issue,0
the printer demanded overtime payment,printer_issue,0
the printer refused to cooperate with education,printer_issue,0
the printer started printing random poetry,printer_issue,0
the printer thought my assignment was confidential,printer_issue,0
the printer suddenly became an artist instead of a printer,printer_issue,0
the printer wanted a vacation day,printer_issue,0
the printer decided paper deserved freedom,printer_issue,0
the printer developed philosophical opinions about homework,printer_issue,0
the printer decided to meditate instead of printing,printer_issue,0
the library computers were not working that day,library_issue,1
the library closed earlier than expected,library_issue,1
the library wifi stopped working during my research,library_issue,1
all library computers were occupied during assignment time,library_issue,1
the library power supply went out suddenly,library_issue,1
the library internet connection failed during my research,library_issue,1
the library computer restarted during my work,library_issue,1
the library printer stopped working during printing,library_issue,1
the library database server was down,library_issue,1
the library system logged me out during research,library_issue,1
the library chairs convinced me to sleep instead of studying,library_issue,0
the library books hid from me,library_issue,0
the library decided it needed a coffee break,library_issue,0
the library computers got bored of assignments,library_issue,0
the library lights went on vacation,library_issue,0
the library shelves started whispering secrets,library_issue,0
the library books refused to cooperate,library_issue,0
the library computers decided today was Sunday,library_issue,0
the library internet signal went exploring,library_issue,0
my laptop suddenly froze while compiling the code,technical,1
my computer restarted automatically during submission,technical,1
the system displayed a blue screen error during upload,technical,1
my laptop overheated and shut down,technical,1
my browser crashed while uploading the assignment,technical,1
my operating system started updating during submission,technical,1
my laptop battery died while I was saving the project,technical,1
the compiler stopped working during coding,technical,1
a relative was hospitalized unexpectedly,family,1
my parents needed urgent help at home,family,1
there was a sudden emergency in my family,family,1
i had to attend an urgent family gathering,family,1
my cousin had an accident and needed assistance,family,1
i had to help my family during a medical emergency,family,1
a close relative passed away suddenly,family,1
my parents asked for my help during a family issue,family,1
i had to travel suddenly due to a family matter,family,1
a family member required emergency surgery,family,1
my family held an emergency meeting about dinner,family,0
my cousin challenged me to a video game tournament,family,0
my relatives demanded i explain my life choices,family,0
my bus broke down on the way to university,transport,1
there was heavy traffic due to an accident,transport,1
my ride cancelled unexpectedly,transport,1
my car tire got punctured on the road,transport,1
public transport was delayed that day,transport,1
i accidentally uploaded the wrong file during submission,submission,1
i forgot to click the final submit button,submission,1
i uploaded a draft instead of the final assignment,submission,1
i submitted the assignment to the wrong course portal,submission,1
i attached the wrong document file,submission,1
i mistakenly submitted another subject assignment,submission,1
i uploaded the assignment in the wrong format,submission,1
i accidentally deleted the final assignment before submission,submission,1
i replaced the final file with an older version,submission,1
i uploaded an empty file accidentally,submission,1
my assignment decided to submit itself incorrectly,submission,0
the submit button started ignoring me,submission,0
the assignment portal became shy,submission,0
the submission page decided it needed a break,submission,0
my file decided it didn't want to graduate,submission,0
my bike stopped working during the trip,transport,1
the road was closed due to construction,transport,1
there was a transport strike in the city,transport,1
my driver arrived extremely late,transport,1
my vehicle developed engine problems,transport,1
my bus driver decided to explore the city,transport,0
my ride got distracted by a food stall,transport,0
the bus decided to take a scenic route,transport,0
traffic lights started arguing with each other,transport,0
my bike refused to cooperate with education,transport,0
my family dog scheduled a meeting with me,family,0
my family decided today was a holiday, family,0
my laptop fan stopped working and the system overheated,technical,1
my computer became extremely slow during submission,technical,1
my laptop decided it deserved a vacation,technical,0
my computer started thinking about life instead of working,technical,0
my laptop believed deadlines were optional,technical,0
my computer developed stage fright during submission,technical,0
my system decided homework was unfair,technical,0
the library printer joined the student protest,library_issue,0
the library tables started judging my assignment,library_issue,0
the library clock moved faster than normal,library_issue,0
the library computers started daydreaming,library_issue,0
the library books started hiding from students,library_issue,0
the library wifi forgot the password to itself,library_issue,0
construction work near my house caused loud noise,environment_issue,1
electricity maintenance cut off power at home,environment_issue,1
heavy rain flooded the street near my house,environment_issue,1
a power outage interrupted my work,environment_issue,1
the internet cables in my area were damaged,environment_issue,1
there was loud drilling noise during construction,environment_issue,1
my house electricity tripped suddenly,environment_issue,1
stormy weather disrupted the power supply,environment_issue,1
a transformer failure caused a blackout,environment_issue,1
water leakage damaged my study desk,environment_issue,1
construction workers started a concert outside,environment_issue,0
my house decided to renovate itself,environment_issue,0
the weather decided to test my patience,environment_issue,0
my room joined a chaos experiment,environment_issue,0
the electricity decided it needed rest,environment_issue,0
my teammate uploaded the wrong version of the project,group_project,1
our group member accidentally deleted the project file,group_project,1
my teammate forgot to submit the final report,group_project,1
our group misunderstood the submission deadline,group_project,1
one teammate submitted an incomplete version,group_project,1
our shared document got overwritten accidentally,group_project,1
my teammate attached the wrong file,group_project,1
our group lost access to the shared project folder,group_project,1
my teammate accidentally replaced the final presentation,group_project,1
our group communication failed during submission time,group_project,1
my teammates started debating instead of working,group_project,0
our group turned the project into a comedy show,group_project,0
my teammates decided teamwork was optional,group_project,0
our group started arguing about lunch instead,group_project,0
my teammate thought the project was fictional,group_project,0
the lab computer crashed during the experiment,lab_issue,1
the lab software stopped responding,lab_issue,1
the experiment equipment malfunctioned,lab_issue,1
the lab computer restarted automatically,lab_issue,1
the lab network stopped working,lab_issue,1
the experiment data was lost due to a system error,lab_issue,1
the lab computer froze during data analysis,lab_issue,1
the lab printer stopped working,lab_issue,1
the laboratory software license expired,lab_issue,1
the experiment setup stopped functioning,lab_issue,1
the lab equipment decided to retire early,lab_issue,0
the experiment equipment got stage fright,lab_issue,0
the lab computer started daydreaming,lab_issue,0
the lab printer became philosophical,lab_issue,0
the experiment refused to cooperate,lab_issue,0
i misunderstood the assignment instructions,academic,1
i misread the assignment deadline,academic,1
i confused the exam schedule,academic,1
i misunderstood the project requirements,academic,1
i followed outdated assignment instructions,academic,1
i thought the deadline was tomorrow,academic,1
i misunderstood the grading guidelines,academic,1
i followed the wrong assignment format,academic,1
i misinterpreted the submission instructions,academic,1
i misunderstood the course announcement,academic,1
the textbook confused me intentionally,academic,0
my notebook refused to take notes,academic,0
my pen started writing random poetry,academic,0
the assignment instructions became mysterious,academic,0
the syllabus decided to play tricks on me,academic,0
